Lab.ID,X,Y,TriticeaeST,FaboideaeST,PanicoideaeST,USO,Grass.inflorescence,Grass.Culm.Leaves,Panicoideae.grass,Arecaceae
Catal B131.1,1045.83,1187.74,0,0,0,2,19,181,2,0
Catal B131.2,1045.85,1188.28,0,0,0,2,34,178,0,0
Catal B131.3,1045.89,1189.2,0,0,0,13,35,167,5,0
Catal B131.4,1046.32,1189.15,0,0,0,0,36,187,2,0
Catal B131.5,1046.37,1187.77,0,0,0,1,83,140,1,0
Catal B131.6,1046.76,1187.69,0,0,0,0,37,171,0,0
Catal B131.7,1047.22,1187.69,2,13,0,2,23,187,1,0
Catal B131.8,1046.84,1188.56,0,0,0,0,29,192,1,0
Catal B131.9,1046.72,1189.09,1,0,0,2,33,185,3,0
Catal B131.10,1046.9,1188.16,0,0,0,1,97,126,0,0
Catal B131.11,1047.23,1188.15,0,0,0,16,40,165,0,0
Catal B131.12,1047.2,1188.63,0,0,0,2,31,180,1,0
Catal B131.13,1047.21,1189.08,1,0,0,1,18,204,0,0
Catal B131.14,1044.2,1186.9,0,0,0,8,66,152,4,0
Catal B131.15,1044.23,1187.36,0,0,0,0,65,145,2,0
Catal B131.16,1044.75,1186.91,0,0,0,21,56,169,3,0
Catal B131.17,1044.7,1187.38,0,0,0,0,92,130,3,0
Catal B131.18,1045.29,1185.94,0,1,0,7,33,180,1,0
Catal B131.19,1045.26,1186.43,0,0,0,13,48,171,2,0
Catal B131.20,1045.24,1186.89,0,0,0,6,55,161,0,0
Catal B131.21,1045.18,1187.38,0,0,0,0,61,151,2,0
Catal B131.22,1045.83,1185.97,1,1,1,0,54,168,2,0
Catal B131.23,1045.81,1186.51,0,0,0,0,41,183,3,0
Catal B131.24,1045.65,1187.28,10,0,0,0,40,181,1,0
Catal B131.25,1046.33,1186.02,1,0,0,0,66,164,1,0
Catal B131.26,1046.31,1186.49,1,0,2,0,57,165,0,0
Catal B131.27,1046.26,1187.2,0,0,0,0,82,136,3,0
Catal B131.28,1046.76,1186.01,5,0,2,3,73,151,2,0
Catal B131.29,1046.8,1186.55,3,1,1,0,62,170,1,1
Catal B131.30,1046.67,1187.16,1,0,0,0,45,173,0,0
Catal B131.31P,1047.16,1187.16,0,0,0,0,31,201,0,0
Catal B131.33P,1045.36,1185.3,1,0,1,0,112,119,1,1
Catal B131.34P,1042.75,1187.92,0,0,0,0,56,173,3,0
Catal B131.35,1042.85,1188.54,1,0,1,0,52,174,0,0
Catal B131.36,1042.9,1189.03,1,0,0,0,55,174,1,0
Catal B131.37,1043.31,1187.95,1,0,0,0,76,144,6,0
