Lab.ID,X,Y,TriticeaeST,FaboideaeST,PanicoideaeST,USO,USOA,USOB,USOC,Grass.inflorescence,Grass.Culm.Leaves,Panicoideae.grass,Arecaceae
Catal B80.1,936.8217,962.3758,0,0,0,0,0,0,0,24,198,10,0
Catal B80.2,936.6631,962.008,0,0,0,0,0,0,0,33,192,5,0
Catal B80.3,936.4077,961.581,0,0,0,0,0,0,0,12,206,2,0
Catal B80.4,936.3662,962.4664,1,0,0,0,0,0,0,31,184,9,0
Catal B80.5,936.2179,962.1559,0,0,0,0,0,0,0,13,217,8,0
Catal B80.6,936.0483,961.8086,1,0,0,0,0,0,0,49,179,3,0
Catal B80.7,936.2621,962.9698,1,0,0,0,0,0,0,42,194,0,0
Catal B80.8,935.9139,962.8686,1,0,0,0,0,0,0,54,173,6,0
Catal B80.9,935.7254,962.4692,0,0,0,0,0,0,0,34,196,0,0
Catal B80.10,935.5117,962.1297,0,1,0,0,0,0,0,42,181,1,0
Catal B80.11,936.0647,961.2699,0,0,0,0,0,0,0,6,236,0,0
Catal B80.12,935.7673,961.4259,0,0,0,0,0,0,0,19,214,0,0
Catal B80.13,935.3644,961.625,0,0,1,0,0,0,0,48,178,3,0
Catal B80.14,935.3771,962.8546,0,0,0,0,0,0,0,48,178,6,0
Catal B80.15,935.1823,962.4221,0,0,0,0,0,0,0,46,162,5,0
Catal B80.16,934.9063,962.7698,0,0,0,0,0,0,0,73,132,5,0
Catal B80.17,934.5714,962.5957,0,0,0,0,0,0,0,77,144,2,0
Catal B80.18,934.1657,963.0964,0,0,0,0,0,0,0,44,171,2,0
Catal B80.19,934.0269,962.8874,0,0,0,0,0,0,0,67,158,2,0
Catal B80.20,934.7941,959.1041,0,0,0,0,0,0,0,29,177,5,0
Catal B80.21,934.4983,958.6258,0,0,0,0,0,0,0,82,139,4,0
Catal B80.22,934.425,959.3247,0,0,0,0,0,0,0,39,191,5,1
Catal B80.23,934.0845,958.7766,0,0,0,0,0,0,0,86,142,5,0
Catal B80.24,934.1804,958.0939,0,0,0,0,0,0,0,41,156,8,1
Catal B80.25,933.9398,957.7053,0,0,0,0,0,0,0,61,149,2,1
Catal B80.26,933.529,958.3101,0,0,0,0,0,0,0,40,158,4,1
Catal B80.27,933.3009,958.0494,0,1,0,0,0,0,0,60,135,10,0
Catal B80.28,932.9442,958.2281,0,0,1,0,0,0,0,55,133,10,0
Catal B80.29,934.0547,959.5488,0,0,0,0,0,0,0,37,180,2,2
Catal B80.30,933.7178,959.1123,1,0,0,0,0,0,0,42,149,3,0
Catal B80.31,933.7105,959.8599,0,0,0,0,0,0,0,52,140,15,0
Catal B80.32,933.3121,959.394,0,0,0,1,0,0,1,60,116,20,0
Catal B80.33,933.2823,958.9662,0,0,0,0,0,0,0,60,149,10,2
Catal B80.34,932.6388,958.9457,0,0,0,0,0,0,0,44,151,10,0
Catal B80.35,932.3814,958.5219,2,1,19,1,0,0,1,53,134,9,1
Catal B80.36,932.487,959.4586,2,1,52,0,0,0,0,56,124,26,0
Catal B80.37,932.1156,958.6552,3,0,14,0,0,0,0,41,114,15,0
Catal B80.38,932.1074,959.8426,3,2,96,3,1,1,3,47,122,22,0
Catal B80.39,931.7687,959.345,1,1,14,1,0,0,1,60,149,7,1
Catal B80.40,931.7176,958.9053,6,1,38,2,1,1,2,56,129,10,1
Catal B80.41,932.4294,957.0629,0,0,0,0,0,0,0,58,118,8,0
Catal B80.42,932.8575,957.3995,0,0,0,2,0,2,0,50,134,10,0
Catal B80.43,932.4135,957.8209,0,0,5,0,0,0,0,68,122,10,0
Catal B80.44,934.1481,960.6848,0,0,0,1,1,1,1,71,138,2,0
Catal B80.45,933.8285,960.3594,1,0,0,1,1,0,0,56,150,6,0
Catal B80.46,933.8268,960.9963,0,0,1,0,0,0,0,57,159,4,0
Catal B80.47,933.2507,960.9862,1,0,0,1,0,1,0,38,163,4,0
Catal B80.48,933.2114,960.5199,0,0,0,1,0,0,1,36,180,2,0
Catal B80.49,932.6539,960.7266,2,1,0,9,1,1,5,29,186,1,0
Catal B80.50,934.804,961.881,0,0,2,11,7,3,5,98,111,4,0
Catal B80.51,934.5688,961.4772,3,1,3,0,0,0,0,120,96,1,0
Catal B80.52,934.2889,960.9528,0,0,2,0,0,0,0,98,130,4,0
Catal B80.53,934.2962,962.215,0,0,0,0,0,0,0,98,103,4,0
Catal B80.54,934.0312,961.7737,3,0,0,0,0,0,0,76,123,3,0
Catal B80.55,933.7444,961.3132,0,0,0,0,0,0,0,68,152,3,1
Catal B80.56,933.7871,962.5888,0,0,0,0,0,0,0,91,85,3,0
Catal B80.57,933.5974,962.0921,0,0,0,0,0,0,0,85,111,7,0
Catal B80.58,933.3261,961.7146,0,0,0,0,0,0,0,91,113,5,0
Catal B80.59,933.1461,960.0575,0,0,0,0,0,0,0,120,91,12,0
Catal B80.60,933.0411,959.8267,1,1,1,0,0,0,0,125,106,1,0
Catal B80.61,932.8825,959.6546,0,0,0,1,1,1,1,80,137,8,0
Catal B80.62,934.53,959.54,1,0,1,1,0,0,1,87,129,3,0
Catal B80.63,935.9286,960.7973,0,0,5,0,0,0,0,36,168,1,0
Catal B80.64,935.6949,960.3436,0,2,10,2,0,0,1,37,163,2,0
Catal B80.65,935.4188,959.919,0,1,3,0,0,0,0,35,163,1,1
Catal B80.66,935.1993,959.4938,0,0,0,0,0,0,0,40,164,3,0
Catal B80.67,935.5696,961.0098,1,0,0,0,0,0,0,39,158,1,0
Catal B80.68,935.2558,960.6138,1,0,0,0,0,0,0,80,127,4,0
Catal B80.69,935.1515,960.1738,0,0,0,0,0,0,0,38,146,1,0
Catal B80.70,934.6716,959.7698,0,0,0,0,0,0,0,60,150,1,0
Catal B80.71,935.0556,961.3411,1,0,0,0,0,0,0,44,164,3,0
Catal B80.72,934.7203,960.816,0,0,0,0,0,0,0,47,159,2,0
Catal B80.73,934.6142,960.4497,0,0,0,0,0,0,0,75,122,2,0
Catal B80.74,934.3382,960.0668,0,0,0,0,0,0,0,66,114,8,0
Catal B80.75,931.9759,957.4528,0,0,0,3,0,1,2,61,160,5,0
Catal B80.76,931.8493,958.0622,0,0,0,4,1,3,2,71,152,3,0
Catal B80.77,931.6174,957.525,1,0,0,2,1,2,1,70,151,6,0
Catal B80.78,931.3794,958.1782,0,1,1,4,2,2,2,61,163,2,0
Catal B80.79,931.2175,957.6916,0,0,0,0,0,0,0,86,136,5,0
Catal B80.80,932.7896,960.2881,2,0,5,7,0,0,6,86,140,4,0
Catal B80.81,932.5024,959.9337,1,2,9,1,0,0,1,71,156,5,0
Catal B80.82,932.448,960.4696,1,1,9,1,0,0,1,79,135,9,0
Catal B80.83,932.3672,960.1123,1,0,18,1,0,0,1,77,139,1,0
